,CODIGO,NOMBRE FANTASIA,COMUNA,ESTACIONAMIENTO,ES PAR
99,89698,EL CID,LO ESPEJO,NO,SI
100,89699,SANTA IRMA,CERRILLOS,NO,NO
101,89705,ROSITA,CERRILLOS,NO,NO
102,89708,BOTILLERIA DON PATO,LO BARNECHEA,NO,SI
103,89713,LA ESCALA SUR,LO ESPEJO,NO,NO
104,89723,SANTA TERESA,PEDRO AGUIRRE CERDA,NO,NO
105,89741,MARIA JOSE,PEDRO AGUIRRE CERDA,NO,NO
106,89747,LOBUSAN,PEDRO AGUIRRE CERDA,NO,NO
107,89945,SANTA ANA,SANTIAGO,NO,NO
108,90311,EL CHIMBOTANO,INDEPENDENCIA,NO,NO
109,91449,SR DE MURUHUAY,RENCA,NO,NO
110,91450,JUAN MIGUEL CARDENAS ORTEGA,RECOLETA,NO,SI
111,91684,ARAKNIDO,MACUL,NO,SI
112,91978,BIG CHANCE 2,PEDRO AGUIRRE CERDA,NO,SI
113,91981,LUDIGO,LA PINTANA,NO,NO
114,91986,LA KELA,MACUL,NO,SI
115,91988,SAGITARIO,HUECHURABA,NO,SI
116,91994,LA CHILOTA,MACUL,NO,SI
117,92152,AQUILES FUENZALIDA FLORES,SAN JOAQUIN,NO,SI
118,92153,RAMON PONCE,LA GRANJA,NO,NO
119,92183,CAROL CLUB,LO ESPEJO,NO,NO
120,92186,ALMACEN DON RENE,ESTACION CENTRAL,NO,SI
121,92187,BAZAR VALLE VERDE EST CEN,LA PINTANA,NO,NO
122,92188,BOTILLERIA TIMY LA PINTAN,ESTACION CENTRAL,NO,SI
123,92189,CARMELITA,SAN MIGUEL,NO,NO
124,92191,ALMACEN ALICIA Y FIDEL,LA REINA,NO,NO
125,92193,MINIMARKET HAROLDO,PEDRO AGUIRRE CERDA,NO,NO
126,92195,3 ORIENTE,LA REINA,NO,NO
127,92199,MINIMARKET,ESTACION CENTRAL,NO,NO
128,92201,DON TOMAS,LA GRANJA,NO,NO
129,92204,ALMACEN INFOSER,LO BARNECHEA,NO,SI
130,92207,MINIMARKET,LA PINTANA,NO,NO
131,92212,RITA,LA PINTANA,NO,SI
132,92218,EL ALVEAR,LA PINTANA,NO,SI
133,92240,RICHY,SAN JOAQUIN,NO,SI
134,92241,LEIDY,HUECHURABA,NO,NO
135,92251,BRISTELA MUÑOZ GARRIDO,LA GRANJA,NO,NO
136,92260,RONALD,LA PINTANA,NO,SI
137,92263,MAMI MARIA,CERRILLOS,NO,NO
138,92265,AMASANDERIA ROYAL,LO ESPEJO,NO,NO
139,92271,LA CASITA,LO ESPEJO,NO,NO
140,92275,TIO LALO,VITACURA,NO,NO
141,92276,ROMERO KIOSCO,LO BARNECHEA,NO,SI
142,92278,ANTU,ESTACION CENTRAL,NO,SI
